r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,t_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1c,alpha2c,beta1c,beta2c,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.026387,0.038979,0.043639,1.149256,78.760457,145.889473,192.514451,116.000000,180.000000,120.000000,194.000000,3225.000000,0.538251,0.066091,0.586092,0.078995,28143.000000,56358.000000,18875.000000,33031.000000,4452.000000,11135.000000,15148.000000,1860.000000
0.021267,0.036864,0.047396,0.974225,91.942382,169.822355,186.995925,113.000000,180.000000,116.000000,186.000000,2430.000000,0.748408,0.207550,0.721801,0.247106,13192.000000,28591.000000,889.000000,20637.000000,7065.000000,581.000000,9873.000000,2738.000000
0.026702,0.038366,0.043575,0.968144,160.890732,186.730546,200.515913,146.000000,200.000000,181.000000,203.000000,2696.000000,0.379091,0.205082,0.405010,0.243162,12712.000000,25629.000000,9017.000000,10380.000000,6232.000000,5286.000000,4819.000000,2607.000000
0.025704,0.038431,0.044123,1.273325,82.357105,119.483362,188.275925,119.000000,173.000000,138.000000,181.000000,4258.000000,0.141548,0.068924,0.170359,0.092954,24331.000000,43602.000000,32121.000000,7428.000000,4053.000000,19210.000000,3444.000000,1677.000000
0.023661,0.039044,0.052190,0.858946,142.034876,195.055267,123.776190,110.000000,176.000000,144.000000,184.000000,2490.000000,0.624299,0.007889,0.689860,0.011339,28520.000000,56352.000000,16838.000000,38875.000000,639.000000,10490.000000,17805.000000,225.000000
0.026029,0.043402,0.048036,0.849640,192.345038,236.938449,205.560873,131.000000,201.000000,183.000000,219.000000,2354.000000,0.065102,0.364064,0.075020,0.460263,20414.000000,42202.000000,19612.000000,3166.000000,19424.000000,11653.000000,1329.000000,7432.000000
0.024683,0.039496,0.047447,1.012040,112.027213,203.223302,163.739724,132.000000,185.000000,139.000000,227.000000,2893.000000,0.571999,0.032109,0.632724,0.041640,28528.000000,56821.000000,18503.000000,35952.000000,2366.000000,11294.000000,16318.000000,916.000000
0.023630,0.037636,0.042805,0.772734,185.663313,232.871435,130.438989,120.000000,191.000000,164.000000,198.000000,2739.000000,0.247114,0.010114,0.301492,0.013683,11173.000000,19440.000000,13313.000000,5861.000000,266.000000,8299.000000,2761.000000,113.000000
0.023170,0.038925,0.002223,1.022439,113.193001,-150.641558,1410.740108,136.000000,190.000000,142.000000,306.000000,3147.000000,0.553269,0.001060,0.629436,0.000579,20753.000000,39734.000000,14701.000000,25010.000000,23.000000,9249.000000,11482.000000,22.000000
0.026302,0.040597,0.049904,1.085965,80.343596,153.079497,183.177013,110.000000,175.000000,114.000000,188.000000,2816.000000,0.583922,0.106982,0.617890,0.136366,32155.000000,68441.000000,16819.000000,42289.000000,9333.000000,9939.000000,18776.000000,3440.000000
