r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.249839,0.302118,0.374640,1.182522,15.294343,25.237226,16.260693,10.696492,21.000000,23.000000,22.000000,33.000000,446.000000,0.017226,0.006966,0.022125,0.012858,7895.000000,27842.000000,26868.000000,616.000000,358.000000,7704.000000,136.000000,55.000000
0.249101,0.294089,0.379424,1.024670,19.045907,18.834745,20.618904,11.379059,17.000000,19.000000,23.000000,22.000000,384.000000,0.057959,0.010109,0.070885,0.018943,7419.000000,26395.000000,24024.000000,1871.000000,500.000000,6914.000000,430.000000,75.000000
0.249415,0.324038,0.333274,1.004649,35.733456,24.869889,14.533876,15.867608,31.000000,24.000000,39.000000,28.000000,379.000000,0.009534,0.017006,0.013665,0.025528,11643.000000,41053.000000,39444.000000,561.000000,1048.000000,11334.000000,111.000000,198.000000
0.250942,0.291391,0.359190,1.021527,12.231013,26.583774,19.337588,13.305263,11.000000,25.000000,16.000000,30.000000,384.000000,0.018230,0.007748,0.022103,0.013185,15359.000000,54381.000000,52462.000000,1202.000000,717.000000,14960.000000,280.000000,119.000000
0.250994,0.308694,0.336459,1.001736,26.708546,26.975865,20.393204,15.989763,27.000000,29.000000,30.000000,30.000000,373.000000,0.040930,0.016387,0.053421,0.024573,13242.000000,47491.000000,43787.000000,2537.000000,1167.000000,12483.000000,542.000000,217.000000
0.252852,0.297673,0.352878,1.007423,18.478500,24.959836,19.531926,16.355350,18.000000,25.000000,22.000000,28.000000,368.000000,0.045338,0.043443,0.054567,0.068907,7389.000000,27196.000000,23838.000000,1484.000000,1874.000000,6733.000000,335.000000,321.000000
0.252307,0.294720,0.363832,0.914481,20.664300,20.215316,19.179209,15.938943,17.000000,19.000000,22.000000,21.000000,340.000000,0.016024,0.018554,0.019466,0.031843,17786.000000,63907.000000,60628.000000,1244.000000,2035.000000,17171.000000,285.000000,330.000000
0.249891,0.302895,0.356327,0.928883,26.842271,28.413895,22.101935,16.793405,25.000000,28.000000,28.000000,29.000000,346.000000,0.043425,0.021336,0.055051,0.035332,18607.000000,66738.000000,60706.000000,3674.000000,2358.000000,17402.000000,808.000000,397.000000
0.253062,0.308475,0.352902,1.166543,21.618015,28.883992,16.199746,9.730711,21.000000,30.000000,29.000000,37.000000,434.000000,0.027096,0.005676,0.035312,0.009236,5462.000000,19597.000000,18724.000000,692.000000,181.000000,5283.000000,148.000000,31.000000
0.248102,0.303101,0.374513,0.969774,26.604659,23.109077,11.109476,12.323001,14.000000,24.000000,29.000000,25.000000,370.000000,0.001472,0.005128,0.001929,0.009600,19696.000000,68436.000000,67647.000000,132.000000,657.000000,19566.000000,29.000000,101.000000
0.248549,0.308867,0.342083,0.974239,21.396985,26.843564,19.422372,12.157535,21.000000,24.000000,24.000000,29.000000,369.000000,0.027499,0.004367,0.036728,0.006886,14655.000000,51405.000000,49163.000000,1888.000000,354.000000,14188.000000,403.000000,64.000000
0.250638,0.296896,0.350407,0.868129,28.885081,29.399439,23.195112,17.589034,23.000000,25.000000,28.000000,28.000000,317.000000,0.090901,0.044104,0.108874,0.069029,10770.000000,39679.000000,32620.000000,4320.000000,2739.000000,9316.000000,979.000000,475.000000
0.243872,0.305368,0.341184,0.915850,21.838538,38.560531,17.692357,16.813716,21.000000,35.000000,23.000000,38.000000,336.000000,0.068497,0.095649,0.085890,0.143457,3241.000000,11899.000000,9170.000000,1022.000000,1707.000000,2709.000000,222.000000,310.000000
