r_hat,r1_hat,r2_hat,u_hat,t1_hat,t2_hat,tau1_hat,tau2_hat,m1,m2,m1_obs,m2_obs,gamma,alpha1,alpha2,beta1,beta2,M1,M2,cells[0],cells[1],cells[2],WBC1[0],WBC1[1],WBC1[2]
0.071615,0.089499,0.141120,0.910622,60.206425,96.139950,72.438007,56.187233,58.000000,90.000000,65.000000,94.000000,970.000000,0.032423,0.137673,0.032444,0.386819,20171.000000,120731.000000,70113.000000,3917.000000,46701.000000,16740.000000,654.000000,2777.000000
0.066542,0.090758,0.135456,0.990605,47.531799,79.433167,85.090573,30.468395,42.000000,56.000000,58.000000,86.000000,1265.000000,0.254851,0.006995,0.350680,0.023530,8864.000000,39566.000000,24760.000000,13875.000000,931.000000,6543.000000,2259.000000,62.000000
0.070450,0.101253,0.135705,1.069377,50.906757,67.440960,52.128102,48.532992,54.000000,71.000000,65.000000,80.000000,1347.000000,0.010277,0.038014,0.017128,0.126197,19072.000000,86698.000000,74272.000000,1485.000000,10941.000000,18151.000000,196.000000,725.000000
0.070770,0.093752,0.139873,1.092506,33.269197,54.177535,77.293283,59.060903,45.000000,66.000000,48.000000,67.000000,1122.000000,0.062721,0.173007,0.063965,0.443810,22369.000000,143032.000000,70404.000000,9149.000000,63479.000000,17096.000000,1403.000000,3870.000000
0.069449,0.092675,0.139171,1.035876,38.443248,72.940014,76.036418,53.193943,44.000000,70.000000,51.000000,83.000000,1158.000000,0.076651,0.109473,0.088556,0.320532,14990.000000,82806.000000,48931.000000,7333.000000,26542.000000,12200.000000,1149.000000,1641.000000
0.068131,0.096375,0.139308,0.956221,45.050365,62.889143,70.765609,51.568380,46.000000,65.000000,53.000000,67.000000,892.000000,0.182325,0.262341,0.163210,0.554213,5024.000000,38570.000000,10899.000000,6295.000000,21376.000000,2790.000000,916.000000,1318.000000
0.066943,0.088053,0.143233,0.984418,55.687873,68.189679,79.386932,51.845175,57.000000,70.000000,66.000000,74.000000,819.000000,0.253324,0.391649,0.151972,0.708393,4287.000000,41580.000000,5806.000000,6319.000000,29455.000000,1522.000000,1086.000000,1679.000000
0.070769,0.090206,0.142762,1.141827,23.945909,49.921682,81.648003,55.751896,38.000000,60.000000,40.000000,65.000000,1162.000000,0.091393,0.165548,0.085516,0.443155,17288.000000,112236.000000,52900.000000,9598.000000,49738.000000,12846.000000,1580.000000,2862.000000
0.064602,0.086298,0.137865,0.883418,48.406558,53.872766,81.306533,51.541700,44.000000,52.000000,53.000000,54.000000,782.000000,0.321511,0.351499,0.211622,0.648919,3468.000000,29600.000000,4128.000000,6264.000000,19208.000000,1134.000000,1115.000000,1219.000000
0.065296,0.088138,0.132547,0.923998,42.766758,79.035762,91.364144,41.125290,40.000000,67.000000,50.000000,80.000000,999.000000,0.732230,0.054300,0.732667,0.132066,4291.000000,24995.000000,3381.000000,18313.000000,3301.000000,916.000000,3142.000000,233.000000
0.070822,0.089640,0.147361,1.041640,40.685580,54.655517,100.056230,42.307039,52.000000,56.000000,54.000000,64.000000,1242.000000,0.288739,0.018744,0.350617,0.072204,27208.000000,134577.000000,77675.000000,47185.000000,9717.000000,18842.000000,7856.000000,510.000000
0.070647,0.088692,0.123623,0.961737,51.112220,80.292650,70.225962,37.332319,54.000000,66.000000,60.000000,85.000000,1279.000000,0.020829,0.004149,0.029386,0.011772,24341.000000,101681.000000,97496.000000,2988.000000,1197.000000,23733.000000,507.000000,101.000000
