"","2.5","50","97.5"
"t_cll_subclones",64.171,65.665,67.145
"t_M1_subclones",63.113,64.748,66.518
"t_M2_subclones",64.564,66,67.373
"t_M3_subclones",68.659,69.393,70.218
"t_M1_subclones_PE",-3.938,-1.449,1.245
"t_M2_subclones_PE",-3.908,-1.771,0.273
"t_M3_subclones_PE",-1.607,-0.554,0.628
