"","alpha1","beta1","r","r1","t_cll_subclones","t_M1_subclones","t_M2_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","t_M1_subclones_PE","t_M2_subclones_PE"
"1",0.26,0.45,0.759928471479279,1.69914831561321,34.220077649695,36.3899974500048,37.289999504781,0.759928471479279,FALSE,1.69914831561321,FALSE,-7.00740631774964e-06,-1.3280208171791e-06
"2",0.4,0.47,0.95179431514785,1.26881742211019,34.5889730961642,36.3900018685463,37.2900179613899,0.95179431514785,FALSE,1.26881742211019,FALSE,5.13477948994074e-06,4.81667737440475e-05
"3",0.39,0.34,1.17716490017351,0.937184900877291,34.6111132712967,36.3900000030673,37.2900161977364,1.17716490017351,FALSE,0.937184900877291,FALSE,8.4290011384813e-09,4.34372121406921e-05
"4",0.44,0.6,0.715772550757593,1.43424717845209,33.1098281574923,35.5933115794456,36.7329157042953,0.717245924971721,TRUE,1.43424717845209,FALSE,-2.18930590973993,-1.49392409682151
"5",0.32,0.39,0.968926323666942,1.30943697292552,34.5874157272085,36.3900029788532,37.2900183086817,0.968926323666942,FALSE,1.30943697292552,FALSE,8.18591152299289e-06,4.90981005906844e-05
"6",0.33,0.56,0.622405052033711,1.67723517952414,32.9124584130574,35.4602504777287,36.6328238683201,0.72217422749043,TRUE,1.67723517952414,FALSE,-2.55495884108619,-1.76233878165691
"7",0.42,0.64,0.559714955791926,1.55764555264373,33.0803088210745,35.5798282573109,36.706342453841,0.718210237140209,TRUE,1.55764555264373,FALSE,-2.2263581827127,-1.56518515998662
"8",0.33,0.48,0.808020701659449,1.50595664638274,34.3855810811372,36.3899783826512,37.2899781472406,0.808020701659449,FALSE,1.50595664638274,FALSE,-5.94046407179846e-05,-5.86021972654485e-05
"9",0.35,0.34,1.10659444937093,1.05742221714422,34.6402041541126,36.3900000036918,37.2900144731985,1.10659444937093,FALSE,1.05742221714422,FALSE,1.0145218609205e-08,3.88125463856088e-05
"10",0.29,0.55,0.582944605591171,1.80078320838784,32.8444545167528,35.4110334205828,36.5984207363211,0.723767721792446,TRUE,1.80078320838784,FALSE,-2.69020769282013,-1.85459711364685
"11",0.31,0.49,0.753762956033453,1.59833402880948,34.2594211393913,36.3899921720993,37.2899983938696,0.753762956033453,FALSE,1.59833402880948,FALSE,-2.15111313818517e-05,-4.30713428630866e-06
"12",0.28,0.38,0.923484220368984,1.42894353539359,34.5294304268128,36.3900171445907,37.2900239105994,0.923484220368984,FALSE,1.42894353539359,FALSE,4.71134672003964e-05,6.41206741062826e-05
