"","2.5","50","97.5"
"t_cll_subclones",51.63,51.775,51.894
"t_M1_subclones",52.476,52.614,52.732
"t_M2_subclones",52.267,52.407,52.526
"t_M3_subclones",56.427,56.522,56.631
"t_M1_subclones_PE",-3.96,-3.708,-3.492
"t_M2_subclones_PE",-5.825,-5.573,-5.359
"t_M3_subclones_PE",-6.531,-6.373,-6.193
