"","2.5","50","97.5"
"t_cll_subclones",60.267,61.914,62.372
"t_M1_subclones",62.119,63.17,63.43
"t_M2_subclones",63.168,63.924,64.129
"t_M3_subclones",65.005,65.407,65.815
"t_M1_subclones_PE",-1.555,0.11,0.523
"t_M2_subclones_PE",-1.484,-0.305,0.014
"t_M3_subclones_PE",-0.604,0.011,0.635
