"","2.5","50","97.5"
"t_cll_subclones",32.763,34.35,34.64
"t_M1_subclones",35.352,36.39,36.39
"t_M2_subclones",36.559,37.29,37.29
"t_M1_subclones_PE",-2.853,0,0
"t_M2_subclones_PE",-1.959,0,0
