"","alpha1","beta1","ccf_last1","r","r1","u","t_cll_subclones","t_M1_subclones","t_M2_subclones","t_M3_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","t_M1_subclones_PE","t_M2_subclones_PE","t_M3_subclones_PE"
"1",0.63,0.78,0.75,0.301891202844873,0.782282435627175,0,60.2656294777375,62.0910407817045,63.1410696572378,65.1195419042025,0.391033614142256,TRUE,0.782282435627175,FALSE,-1.59898449809107,-1.52671606793848,-0.428835008864612
"2",0.66,0.8,0.82,0.269457622010371,0.839888911920563,0,60.5142711882545,62.3026563816231,63.3095614534923,65.1704901442585,0.38969356044926,TRUE,0.839888911920563,FALSE,-1.26361904655611,-1.26394034077929,-0.350932501133745
"3",0.71,0.72,0.8,0.606764052218079,1.04459824103452,0,62.3509597424657,63.3734411202819,63.9915754478808,65.2322079553482,0.606764052218079,FALSE,1.04459824103452,FALSE,0.433345673980793,-0.200287823018023,-0.256562759406407
"4",0.62,0.75,0.77,0.458890813178013,0.909784543238907,0,61.7405216676642,63.0738847767077,63.8513270849792,65.3616161034021,0.458890813178013,FALSE,0.909784543238907,FALSE,-0.0413870416676719,-0.419015775141544,-0.058690973391338
"5",0.67,0.78,0.76,0.495554174414768,0.798060412724532,0,61.6600439063237,62.9960146219947,63.808301447484,65.4443647510027,0.495554174414768,FALSE,0.798060412724532,FALSE,-0.16479457687052,-0.486117517960106,0.0678360107075411
"6",0.7,0.7,0.72,0.845987363368083,0.83311723923349,0,62.2614016171386,63.329660073773,64.001803601027,65.4018404777766,0.845987363368083,FALSE,0.83311723923349,FALSE,0.363962082049192,-0.184336242939864,0.00281418620268186
"7",0.68,0.69,0.79,0.548239855446873,0.91151614484082,0,62.1938243544334,63.3695166016359,64.0818942085734,65.5131283650584,0.548239855446873,FALSE,0.91151614484082,FALSE,0.427126151562485,-0.0594288699728005,0.17297915146551
"8",0.62,0.73,0.81,0.479622930521853,0.927629912577965,0,62.011176155154,63.2174086154072,63.9332176791666,65.3497155798158,0.479622930521853,FALSE,0.927629912577965,FALSE,0.186067536303034,-0.291301186577424,-0.0768874926363668
"9",0.68,0.75,0.81,0.569943619942345,0.90170576403856,0,62.08444222802,63.2111000949565,63.9018394031716,65.3056168443649,0.569943619942345,FALSE,0.90170576403856,FALSE,0.176069881072037,-0.340237986319988,-0.144316751735605
"10",0.66,0.71,0.81,0.531296087880104,0.846090552639464,0,61.916035929045,63.1307832754277,63.873856062323,65.3805708585548,0.531296087880104,FALSE,0.846090552639464,FALSE,0.048784905590686,-0.38388012738149,-0.0297081673474022
"11",0.74,0.75,0.81,0.611641499625006,0.654936534109317,0,61.4627982559953,62.8479741150531,63.7190490799406,65.5322976358245,0.611641499625006,FALSE,0.654936534109317,FALSE,-0.399407107681293,-0.625313350061493,0.202289963034425
"12",0.67,0.69,0.8,0.526598494482399,0.828280746141929,0,61.9569452684172,63.2159625040838,63.9851728464858,65.5419069400531,0.526598494482399,FALSE,0.828280746141929,FALSE,0.183775759245308,-0.210273165181259,0.216983088766258
"13",0.63,0.7,0.8,0.557638111235916,0.952794216123484,0,62.1817549880755,63.296200236726,63.9709948854285,65.3273072428934,0.557638111235916,FALSE,0.952794216123484,FALSE,0.310935398931775,-0.232384770074049,-0.111151004750122
"14",0.69,0.74,0.81,0.543559150922236,0.740096654141367,0,61.8332301222527,63.142212621933,63.956161044261,65.6311931760124,0.543559150922236,FALSE,0.740096654141367,FALSE,0.0668979745372261,-0.255519269711494,0.353506385340035
"15",0.67,0.74,0.78,0.531419796817472,0.854649067024911,0,61.8378563806375,63.035612176938,63.7683162530928,65.2545028225244,0.531419796817472,FALSE,0.854649067024911,FALSE,-0.102040924028547,-0.548477459306265,-0.222472748433581
"16",0.67,0.73,0.81,0.636835289466679,0.753045157481595,0,61.958006917141,63.2031208602048,63.9834771966668,65.6018695487049,0.636835289466679,FALSE,0.753045157481595,FALSE,0.163424501116941,-0.21291765959636,0.308669034716894
"17",0.64,0.77,0.8,0.334107234181567,0.836372781405078,0,60.4209798147115,62.240694760944,63.2680471517441,65.1647166835553,0.390599399020416,TRUE,0.836372781405078,FALSE,-1.3618149588843,-1.32868504094804,-0.359760422698308
"18",0.66,0.72,0.81,0.679430204931585,0.931785283662269,0,62.2449204896522,63.2937291769084,63.9450449573949,65.283577098615,0.679430204931585,FALSE,0.931785283662269,FALSE,0.307019297794677,-0.272855649727284,-0.17801666878435
"19",0.65,0.75,0.89,0.264623426226271,1.05954804716155,0,60.7088032766028,62.5253546069279,63.4728307636474,65.0816834333727,0.390152950890991,TRUE,1.05954804716155,FALSE,-0.910690004868559,-1.00930947653251,-0.486722578940765
"20",0.66,0.79,0.82,0.202669208433096,0.778018982729421,0,60.4118040619298,62.2139827985804,63.2507473069373,65.2098552061892,0.38969356044926,TRUE,0.778018982729421,FALSE,-1.40414770431005,-1.35566546017259,-0.290741274940043
"21",0.64,0.79,0.78,0.544082965821605,0.862815518214984,0,62.2117189858597,63.3682026021348,64.0792738943646,65.5289045095055,0.544082965821605,FALSE,0.862815518214984,FALSE,0.425043743478344,-0.0635154485892081,0.197101696491595
"22",0.65,0.71,0.74,0.729955766898361,0.835570109432313,0,62.1115927823605,63.2247625539057,63.9233302468024,65.3741210564053,0.729955766898361,FALSE,0.835570109432313,FALSE,0.197721955476484,-0.306721386771038,-0.0395702501447873
