"","2.5","50","97.5"
"r",0.153,0.676,1.295
"r1",0.08,0.407,0.731
"r2",0.084,0.458,0.846
"r3",0.65,1.087,1.777
"u",0.123,0.149,0.194
"MRCA (years)",0.1,2.8,13.2
"t1 (years)",21.7,35.4,46.1
"t2 (years)",25.6,46.7,57.5
"t3 (years)",31.3,45.9,54.6
"t (y0/r)",3.4,12.1,26.7
"t (BD proc)",3.7,11.9,24.7
"t1_na_count",0,0,0
"t2_na_count",0,0,0
"t3_na_count",0,0,0
