"","2.5","50","97.5"
"r",0.302,0.793,1.141
"r1",1.007,1.518,2.037
"u",0.191,0.204,0.228
"MRCA (years)",0.3,6.4,16.7
"t1 (years)",10.8,19.6,24
"t (y0/r)",11,15.4,24.2
"t (BD proc)",11,15.4,24.2
