"","2.5","50","97.5"
"r",0.165,0.279,0.416
"r1",-0.453,-0.396,-0.193
"r2",0.487,0.672,0.94
"r3",0.388,0.626,0.863
"u",0.349,0.361,0.372
"MRCA (years)",1.2,4.9,10.8
"t1 (years)",8.8,18.8,35.1
"t2 (years)",7.7,21.3,31.7
"t3 (years)",10.3,24.8,37.6
"t (y0/r)",22.3,32.7,46.3
"t (BD proc)",22.4,32.8,46
"t1_na_count",0,0,0
"t2_na_count",0,0,0
"t3_na_count",0,0,0
