"","alpha1","beta1","gamma1_obs","gamma2_obs","gamma1","gamma2","m","r","r1","u","MRCA","t1","t","t1_in_years","r_tp1","r_tp2","r1_tp1","r1_tp2","t_BD"
"25",0.2,0.57,1,4,5.25656619421988,31.5287765607893,0,0.399823348136354,2.25331836287067,0.218287228572009,12.6638193079045,12.5999411843323,9.73623950776314,25.2637604922369,0.727047379875232,0.719149776534792,2.25331836287067,2.25331836287067,9.73623950776314
"26",0.35,0.48,1,4,5.25656619421988,31.5287765607893,0,0.841693312209812,1.44057831302391,0.201742287990019,6.54441807838694,12.053716426516,16.4018654950971,18.5981345049029,0.841693312209812,0.841693312209812,1.44057831302391,1.44057831302391,16.4018654950971
"27",0.32,0.57,1,4,5.25656619421988,31.5287765607893,0,0.580399936467217,1.73109210815318,0.203541822619096,5.85929241726276,15.776458920005,13.3642486627323,21.6357513372677,0.722581347187741,0.719149776534792,1.73109210815318,1.73109210815318,13.3642486627323
"28",0.34,0.45,1,4,5.25656619421988,31.5287765607893,0,0.887051083898985,1.40107721939689,0.204344132950199,1.52940011868807,16.5878111376462,16.8827887436657,18.1172112563343,0.887051083898985,0.887051083898985,1.40107721939689,1.40107721939689,16.8827887436657
"29",0.4,0.43,1,4,5.25656619421988,31.5287765607893,0,1.03263804212832,1.16998688209185,0.210443468351931,5.50821383640963,8.86093501777628,20.6308511458141,14.3691488541859,1.03263804212832,1.03263804212832,1.16998688209185,1.16998688209185,20.6308511458141
"30",0.46,0.44,1,4,5.25656619421988,31.5287765607893,0,1.13003908497102,1.0402397441469,0.210727516442691,2.4475459945141,9.04062818963173,23.5118258158542,11.4881741841458,1.13003908497102,1.13003908497102,1.0402397441469,1.0402397441469,23.5118258158542
"31",0.37,0.52,1,4,5.25656619421988,31.5287765607893,0,0.787482018688224,1.46777037582249,0.198466731011742,7.82862099519506,11.0612673696752,16.1101116351298,18.8898883648702,0.787482018688224,0.787482018688224,1.46777037582249,1.46777037582249,16.1101116351298
"32",0.31,0.6,1,4,5.25656619421988,31.5287765607893,0,0.483822757577469,1.82336098893333,0.211733041908646,12.8415653162503,9.55821833147715,12.6002163522726,22.3997836477274,0.722982523319128,0.717210364853923,1.82336098893333,1.82336098893333,12.6002163522726
"33",0.36,0.55,1,4,5.25656619421988,31.5287765607893,0,0.698274376348549,1.56053531008822,0.194562162413423,10.166848099862,9.78087962884198,15.052272271296,19.947727728704,0.720915377915512,0.720368933790806,1.56053531008822,1.56053531008822,15.052272271296
"34",0.3,0.6,1,4,5.25656619421988,31.5287765607893,0,0.467835271519577,1.85979412540332,0.213003156852174,2.67077860587586,20.0207025351493,12.3085188589748,22.6914811410252,0.723377926931442,0.717210364853923,1.85979412540332,1.85979412540332,12.3085188589748
"35",0.39,0.4,1,4,5.25656619421988,31.5287765607893,0,1.07126470039093,1.11776148920815,0.210901121692781,4.15409485213725,9.20881984064795,21.6370853072148,13.3629146927852,1.07126470039093,1.07126470039093,1.11776148920815,1.11776148920815,21.6370853072148
"36",0.29,0.66,1,4,5.25656619421988,31.5287765607893,0,0.271497977642097,2.00336271593666,0.230355148054168,6.28423210228895,17.4058593157163,11.3099085819947,23.6900914180053,0.723767721792446,0.712852120565969,2.00336271593666,2.00336271593666,11.3099085819947
"37",0.41,0.43,1,4,5.25656619421988,31.5287765607893,0,1.05131261803541,1.14255064588033,0.210729453722081,0.401695922607345,13.4170511717326,21.1812529056601,13.8187470943399,1.05131261803541,1.05131261803541,1.14255064588033,1.14255064588033,21.1812529056601
"38",0.35,0.5,1,4,5.25656619421988,31.5287765607893,0,0.798114742039505,1.48593608471308,0.198672667537882,0.921145325095804,18.2200807578052,15.858773917099,19.141226082901,0.798114742039505,0.798114742039505,1.48593608471308,1.48593608471308,15.858773917099
"39",0.37,0.4,1,4,5.25656619421988,31.5287765607893,0,1.03541929792623,1.17625452641416,0.210435151459783,5.10412278117492,9.44864313826027,20.4472340805648,14.5527659194352,1.03541929792623,1.03541929792623,1.17625452641416,1.17625452641416,20.4472340805648
"40",0.27,0.63,1,4,5.25656619421988,31.5287765607893,0,0.33458444866541,2.03107265854471,0.224772493039775,19.7113110539266,4.1872282008095,11.1014607452639,23.8985392547361,0.724531106351585,0.715119682594075,2.03107265854471,2.03107265854471,11.1014607452639
"41",0.31,0.52,1,4,5.25656619421988,31.5287765607893,0,0.686402265126306,1.6643600515548,0.194074480333295,5.72514458713261,15.3381148439376,13.9367405689297,21.0632594310703,0.722982523319128,0.722099653048987,1.6643600515548,1.6643600515548,13.9367405689297
"42",0.37,0.62,1,4,5.25656619421988,31.5287765607893,0,0.527909961819875,1.66320444967101,0.208862208689065,17.4339563509941,3.51227458218378,14.0537690668221,20.9462309331779,0.720482611854282,0.71583484073519,1.66320444967101,1.66320444967101,14.0537690668221
"43",0.21,0.38,1,4,5.25656619421988,31.5287765607893,0,0.820393405423454,1.74859028256223,0.196081058151118,1.74006334463643,20.2842214805652,12.9757151747984,22.0242848252016,0.820393405423454,0.820393405423454,1.74859028256223,1.74859028256223,12.9757151747984
"44",0.35,0.61,1,4,5.25656619421988,31.5287765607893,0,0.52204656504116,1.70688148331882,0.209049376631616,4.37138436455836,17.0025903103325,13.6260253251091,21.3739746748909,0.721341434154477,0.716531421223344,1.70688148331882,1.70688148331882,13.6260253251091
"45",0.37,0.47,1,4,5.25656619421988,31.5287765607893,0,0.897583021626259,1.35544135707652,0.205435203170536,4.62200743189752,12.8176002862623,17.5603922818402,17.4396077181598,0.897583021626259,0.897583021626259,1.35544135707652,1.35544135707652,17.5603922818402
"46",0.34,0.58,1,4,5.25656619421988,31.5287765607893,0,0.587424898399982,1.68305557581477,0.203375470472888,9.59428906566004,11.5843368053495,13.8213741289904,21.1786258710096,0.721760985463375,0.718518762927654,1.68305557581477,1.68305557581477,13.8213741289904
"47",0.38,0.45,1,4,5.25656619421988,31.5287765607893,0,0.956518147211579,1.27749318038552,0.208215882778269,0.464372329901584,15.7980731175547,18.7375545525437,16.2624454474563,0.956518147211579,0.956518147211579,1.27749318038552,1.27749318038552,18.7375545525437
"48",0.35,0.37,1,4,5.25656619421988,31.5287765607893,0,1.05490554310993,1.15137487050872,0.210719270428141,6.57695628758181,7.55220040501595,20.8708433074022,14.1291566925978,1.05490554310993,1.05490554310993,1.15137487050872,1.15137487050872,20.8708433074022
